City,Temp(F),Wind(mph),Humidity(%),Cloudiness(%),Latitude,Longitude
nkwerre,72.27,5.3,95,68,5.75,7.12
palembang,87.8,3.36,66,20,-2.99,104.76
siocon,83.61,4.63,84,0,11.03,124.04
barra do garcas,71.1,5.35,88,48,-15.89,-52.26
taltal,55.22,2.06,99,36,-25.41,-70.49
cotonou,74.34,2.77,92,0,6.37,2.43
abyek,34.41,13.87,74,12,36.04,50.53
general roca,62.6,3.36,55,0,-39.03,-67.58
les escoumins,-4.77,2.51,53,0,48.35,-69.4
praia da vitoria,61.43,10.04,82,75,38.73,-27.07
ust-maya,17.73,8.03,56,48,60.42,134.54
buluang,89.6,8.05,46,20,10.47,123.98
bafoulabe,60.84,6.64,49,0,13.81,-10.83
krasnovishersk,31.37,14.85,92,76,60.4,57.08
muros,53.38,5.82,100,90,42.77,-9.06
teknaf,84.69,3.29,50,0,20.86,92.31
talara,73.08,2.77,86,36,-4.58,-81.27
chabahar,70.34,17.87,94,0,25.29,60.65
moerdijk,42.12,4.7,93,90,51.7,4.63
